train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_avg_delay_s,train_p95_delay_s,train_delay_samples,train_total_energy_j,train_energy_comp_j,train_energy_trans_j,train_avg_energy_j_per_slot,train_cum_hl_mean_satellite,train_cum_hl_system,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
1344,20,21,-239.40208407900082,-3.7406575637343877,0.778969957081545,932,726,207,0,3.902203856749311,6.0,726,4790.403178643969,4762.726568139736,27.676610504234567,74.85004966631202,0.0038790699459154004,0.09697674864788501,6.061046790492813e-05,0.4042006749371263,64
1408,21,22,-410.9345951030643,-6.420853048485379,0.7692307692307693,975,750,220,0,3.7626666666666666,6.0,750,6178.259579081805,6149.111936655757,29.14764242604825,96.5353059231532,0.005632362835930965,0.14080907089827413,8.800566931142133e-05,0.4084505097881652,64
1472,22,23,-438.572894919389,-6.852701483115453,0.7812840043525572,919,718,200,0,3.6908077994428967,6.0,718,5866.5861974730515,5838.919637215396,27.66656025765698,91.66540933551643,0.005856560881252664,0.1464140220313166,9.150876376957287e-05,0.4122902911378219,64
1536,23,24,-372.5298030182556,-5.820778172160244,0.7744360902255639,931,721,199,0,3.8169209431345354,6.0,721,5232.002404087449,5205.065335234144,26.93706885330454,81.75003756386639,0.005206675987548638,0.13016689968871595,8.135431230544747e-05,0.4151155520333082,64
1600,24,25,-431.53473066563066,-6.742730166650479,0.7852564102564102,936,735,216,0,3.8122448979591836,6.0,735,5485.295436435374,5457.3897340908825,27.90570234449037,85.70774119430271,0.005807561463959126,0.14518903659897814,9.074314787436134e-05,0.4173460385398745,64
1664,25,26,-332.12546082036175,-5.189460325318152,0.7887323943661971,923,728,183,0,3.717032967032967,6.0,728,4942.103434950103,4915.323996091064,26.77943885904204,77.22036617109536,0.004838314674290643,0.12095786685726607,7.55986667857913e-05,0.41952108747655853,64
1728,26,27,-374.04822606935693,-5.844503532333702,0.7790575916230367,955,744,211,0,3.5954301075268815,6.0,744,5775.467183470695,5749.087090356513,26.38009311418218,90.24167474172961,0.005263755068655146,0.13159387671637865,8.224617294773666e-05,0.42225532107606933,64
1792,27,28,-290.80160963032796,-4.543775150473874,0.7890710382513662,915,722,196,0,3.9709141274238227,6.0,722,5086.963962333506,5057.61357163865,29.35039069485867,79.48381191146103,0.004393985169845176,0.1098496292461294,6.865601827883087e-05,0.42520387563754025,64
1856,28,29,-301.83449281635393,-4.71616395025553,0.7760084925690022,942,731,217,0,3.9384404924760603,6.0,731,5290.434384166328,5261.43649876238,28.997885403947542,82.66303725259887,0.004502520695463532,0.11256301738658829,7.035188586661768e-05,0.42749764449112776,64
1920,29,30,-298.0665124995707,-4.657289257805792,0.7892425905598244,911,719,200,0,3.72461752433936,6.0,719,5168.927825043729,5143.047631971878,25.880193071852066,80.76449726630827,0.004455817857214353,0.11139544643035883,6.962215401897427e-05,0.4293490137888699,64
1984,30,31,-371.76413460983366,-5.808814603278651,0.7664804469273743,895,686,195,0,3.7667638483965016,6.0,686,5036.330770240019,5011.202293921058,25.128476318962914,78.6926682850003,0.005118353921146803,0.12795884802867008,7.99742800179188e-05,0.43115071047091846,64
2048,31,32,-422.6364341072312,-6.603694282925487,0.78125,928,725,214,0,3.708965517241379,6.0,725,5688.826617519216,5662.617829056664,26.208788462551357,88.88791589873775,0.005699567831994491,0.14248919579986227,8.905574737491392e-05,0.4335951661426739,64
2112,32,33,-435.5088504808767,-6.804825788763698,0.7841880341880342,936,734,196,0,3.7561307901907357,6.0,734,5982.599570114797,5955.44059695457,27.15897316022484,93.4781182830437,0.005870189909028899,0.14675474772572247,9.172171732857654e-05,0.43543119011330045,64
2176,33,34,-360.78973320905783,-5.637339581391529,0.7541528239202658,903,681,215,0,3.6372980910425845,6.0,681,4735.950124300777,4711.480661503059,24.46946279771814,73.99922069219964,0.004972108048866322,0.12430270122165804,7.768918826353628e-05,0.43685153560832973,64
2240,34,35,-384.0828074694214,-6.00129386670971,0.7664864864864865,925,709,212,0,3.8307475317348376,6.0,709,5319.761864222736,5291.627130754255,28.134733468482292,83.12127912848025,0.005276882743073825,0.13192206857684563,8.245129286052851e-05,0.4377314319702838,64
