train_slot,env_slot,system_reward_sum,mean_agent_reward,arrived,done_tasks,slot_satisfied,completion_rate_episode,avg_dod,system_lifetime_loss,comp_energy_j,trans_energy_j,dynamic_energy_j
4048,207,127.88772888752762,5.115509155501105,25,19,19,0.8222846037572878,0.35653775301582585,0.0027778642694023586,590.7255185873845,0.22103412463060873,590.9465527120151
4049,208,186.0230022595257,7.440920090381028,16,26,26,0.8250484183344093,0.3567400211209211,0.004713174791087674,344.73355308865365,0.20364365838551635,344.93719674703914
4050,209,79.17526008093164,3.1670104032372652,29,11,11,0.822284003421728,0.35665621366413874,0.0005810935487048035,443.89860768329515,0.409991950070494,444.30859963336565
4051,210,107.58583291864181,4.303433316745672,21,16,16,0.8220140515222483,0.3567503043708157,0.0031493950909958104,605.95915271642,0.3300430165774602,606.2891957329974
4052,211,99.47894358923747,3.979157743569499,16,14,14,0.8221939316783365,0.35678195481761454,0.0022016207569874524,418.5471338165294,0.3373103864961382,418.88444420302557
4053,212,208.77629289767415,8.351051715906966,27,27,27,0.8232067510548523,0.3569543291126606,0.0036266953650071643,710.5880281778097,0.34725650705410255,710.9352846848639
4054,213,34.459529107437426,1.378381164297497,26,13,13,0.8214435585396559,0.3570845771574951,0.003904390971819592,731.66580601839,0.29385505876615337,731.959661077156
4055,214,78.52068171951478,3.1408272687805914,25,20,20,0.8213316635357962,0.3573071271505064,0.005565736216561578,382.13700122610555,0.4309305098970377,382.5679317360026
4056,215,138.31988919575352,5.53279556783014,26,19,19,0.8208428482457961,0.3573845758304358,0.0030152190080755025,852.4063891748518,0.24141526160458615,852.6478044364565
4057,216,94.84064850700996,3.7936259402803985,29,21,21,0.8202641353693768,0.35772189956500955,0.006288070964768083,606.7080778502207,0.32092008431821334,607.0289979345389
4058,217,95.13259052489592,3.805303620995837,21,15,15,0.8198068625436614,0.3577188025429063,0.0017171447319931454,487.5609356300264,0.3624122585769695,487.92334788860336
4059,218,151.96340930496046,6.0785363721984185,28,20,20,0.8192032686414709,0.3577444684973687,0.0023306518517612423,570.5734102978752,0.5703728909602078,571.1437831888354
4060,219,151.8063181886567,6.072252727546267,20,21,21,0.8201424211597151,0.35778069620060005,0.002908033446257245,862.7948350864801,0.3294135211238334,863.1242486076039
4061,220,104.2272467324816,4.169089869299264,25,19,19,0.819838056680162,0.3579078941678965,0.0034611730808820885,662.991454243742,0.24799547147727669,663.2394497152193
4062,221,104.76944609433112,4.190777843773245,27,22,22,0.8198107509563116,0.3582603916845564,0.006330551633437216,471.5981811545715,0.32364436869472474,471.9218255232662
4063,222,122.67965063652923,4.907186025461169,25,22,22,0.8201121794871795,0.3583955930787956,0.004205796634145369,498.42259976732794,0.3883122798248132,498.8109120471527
4064,223,192.6284188079948,7.705136752319792,20,22,22,0.8212290502793296,0.35836866917324384,0.0014298888318970302,538.7476558190458,0.32900974513982373,539.0766655641856
4065,224,222.92588469113582,8.917035387645432,18,25,25,0.8232604373757455,0.35833822986938474,0.001339669942792546,459.4350089492589,0.2729931292719685,459.70800207853085
4066,225,88.25045247068891,3.5300180988275565,20,14,14,0.8227722772277227,0.3583491853986909,0.0022606908638006813,672.5299791390144,0.14432955980925788,672.6743086988237
4067,226,147.05139723371377,5.882055889348551,14,21,21,0.8246445497630331,0.35843135104176793,0.003185355665489763,374.3235109589765,0.11366357229754337,374.437174531274
4068,227,101.71245668042816,4.068498267217127,22,15,15,0.8240267400707826,0.3585401040097247,0.002905265066893747,498.072277423713,0.20296146057240538,498.2752388842854
4069,228,120.33888659953362,4.813555463981345,22,17,17,0.8238057948316366,0.3585569394397185,0.0023203513726867005,394.9012619900897,0.3013444782422693,395.20260646833196
