train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_satisfaction,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_system_delay_overhead_s_per_slot,train_delay_sum_s,train_avg_completed_e2e_delay_s,train_p95_completed_e2e_delay_s,train_delay_samples,train_system_energy_overhead_kj_per_slot,train_total_dynamic_energy_j,train_energy_comp_j,train_energy_trans_j,train_cumulative_lifetime_loss,train_cum_hl_mean_satellite,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
1344,20,21,358.9453479477094,5.60852106168296,0.7269503546099291,0.7269503546099291,1410,1025,386,0,57.8125,3700.0,3.6097560975609757,5.0,1025,0.027721496349623554,1774.1757663759074,1725.8045027111539,48.371263664753805,0.014794131470176095,0.0005917652588070438,9.246332168860059e-06,0.3085198724064073,64
1408,21,22,384.1616152714758,6.002525238616809,0.7351351351351352,0.7351351351351352,1480,1088,386,0,60.71875,3886.0,3.5716911764705883,5.0,1088,0.03430805921054185,2195.7157894746783,2146.5208386031795,49.19495087149919,0.017725868620286512,0.0007090347448114604,1.107866788767907e-05,0.30869051131228853,64
1472,22,23,372.13494767834277,5.814608557474106,0.7592867756315007,0.7592867756315007,1346,1022,324,0,55.453125,3549.0,3.4726027397260273,5.0,1022,0.026328220456741054,1685.0061092314274,1642.9630936828255,42.04301554860116,0.01334418125982659,0.0005337672503930636,8.340113287391618e-06,0.3084976325530447,64
1536,23,24,403.8933820057762,6.310834093840253,0.772027972027972,0.772027972027972,1430,1104,326,0,60.03125,3842.0,3.4800724637681157,5.0,1104,0.031912278342659785,2042.3858139302263,1995.3436961386194,47.042117791606756,0.017081308241176794,0.0006832523296470718,1.0675817650735496e-05,0.3079047824225151,64
1600,24,25,378.5152477576044,5.914300746212569,0.7566594672426206,0.7566594672426206,1389,1051,345,0,57.21875,3662.0,3.4843006660323503,5.0,1051,0.02793981541125826,1788.1481863205286,1742.4365811666387,45.711605153888826,0.015198112219363432,0.0006079244887745373,9.498820137102145e-06,0.3071255861918774,64
1664,25,26,364.8487236847242,5.700761307573815,0.7476155539251651,0.7476155539251651,1363,1019,334,0,55.234375,3535.0,3.4690873405299314,5.0,1019,0.0286964348704169,1836.5718317066817,1793.2096265615528,43.3622051451293,0.01689455413592347,0.0006757821654369388,1.0559096334952168e-05,0.30693163810565305,64
1728,26,27,369.265268729323,5.769769823895672,0.7527114967462039,0.7527114967462039,1383,1041,350,0,55.4375,3548.0,3.4082612872238234,5.0,1041,0.03143738755455632,2011.9928034916047,1968.0448386185437,43.94796487306086,0.019230434143023223,0.0007692173657209289,1.2019021339389514e-05,0.3066489252485655,64
1792,27,28,390.57954863057597,6.1028054473527495,0.7608089260808926,0.7608089260808926,1434,1091,356,0,58.359375,3735.0,3.4234647112740606,5.0,1091,0.030859928526393937,1975.035425689212,1931.7790169086825,43.25640878053001,0.01857803496362862,0.0007431213985451449,1.161127185226789e-05,0.30610853454368914,64
1856,28,29,387.6296188039477,6.056712793811683,0.7526205450733753,0.7526205450733753,1431,1077,347,0,58.421875,3739.0,3.4716805942432685,5.0,1077,0.02958306051567714,1893.315873003337,1847.7736497387261,45.54222326461085,0.01725059159318656,0.0006900236637274624,1.07816197457416e-05,0.30522355905179643,64
1920,29,30,376.807088259069,5.887610754047953,0.7498218104062723,0.7498218104062723,1403,1052,336,0,54.578125,3493.0,3.320342205323194,5.0,1052,0.029825007927161383,1908.8005073383285,1867.0827752505238,41.71773208780473,0.01907478217410979,0.0007629912869643917,1.192173885881862e-05,0.30400100128836316,64
1984,30,31,396.10290857125904,6.189107946425922,0.7880116959064327,0.7880116959064327,1368,1078,298,0,55.0,3520.0,3.2653061224489797,5.0,1078,0.029704184543665007,1901.0678107945605,1860.712201507847,40.35560928671294,0.01895486432947228,0.0007581945731788913,1.1846790205920177e-05,0.30254022355738325,64
2048,31,32,386.0758200127583,6.032434687699348,0.7606534090909091,0.7606534090909091,1408,1071,330,0,55.359375,3543.0,3.3081232492997197,5.0,1071,0.030508467467646787,1952.5419179293945,1910.061918427132,42.47999950226279,0.01971147832371741,0.0007884591329486965,1.2319673952323382e-05,0.30076364265090516,64
2112,32,33,401.00337921006536,6.265677800157271,0.7838412473423104,0.7838412473423104,1411,1106,327,0,55.5625,3556.0,3.2151898734177213,5.0,1106,0.03366506057440512,2154.5638767619275,2115.0244882320485,39.539388529879055,0.02144764995161374,0.0008579059980645496,1.3404781219758587e-05,0.29923294115925003,64
